model,target,horizon,rmse,mae,r2,bias,band_accuracy,band_within_one,rmse_std,n_folds,n,skill_vs_persistence,run_id,city_id,quick
random_forest#1,aqi_max,3,20.18014029638369,16.284534975180286,0.0469243476181882,2.603910501982037,0.6566666666666666,0.9933333333333334,2.469208208152298,5,300,0.2293058556262821,20260906T203412Z,karachi_pk,False
random_forest#2,aqi_max,3,20.035419074304507,16.21619557812794,0.0624934407072758,2.333080397192613,0.65,0.9933333333333334,2.4205666751733945,5,300,0.2348328637037742,20260906T203412Z,karachi_pk,False
extra_trees,aqi_max,3,19.689999010448307,16.00987530790644,0.1139381420746615,1.2590098657947972,0.6933333333333334,0.9933333333333334,2.993823474985239,5,300,0.2480247056163338,20260906T203412Z,karachi_pk,False
hist_gradient_boosting,aqi_max,3,19.58006681269641,15.313698306155995,0.1201541290349615,-0.2647361187777569,0.7033333333333334,0.9933333333333334,2.6634894900169592,5,300,0.25222309570883,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#0,aqi_max,3,19.103213167136524,15.406876987280585,0.1664988330890754,-0.3565342280703414,0.6966666666666667,0.9933333333333334,3.5935818322358344,5,300,0.2704344811084708,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#1,aqi_max,3,19.58006681269641,15.313698306155995,0.1201541290349615,-0.2647361187777569,0.7033333333333334,0.9933333333333334,2.6634894900169592,5,300,0.25222309570883,20260906T203412Z,karachi_pk,False
hist_gradient_boosting#2,aqi_max,3,19.128171855545645,15.07139026592634,0.1584433472251541,0.1424125631226372,0.6966666666666667,0.9966666666666668,2.333272357080968,5,300,0.269481290757678,20260906T203412Z,karachi_pk,False
sarimax,aqi_max,3,26.184369563080686,20.435197903225152,-0.5722503205149057,-0.0726615969581749,0.5733333333333334,0.9733333333333334,4.128632537056338,5,300,0.0,20260906T203412Z,karachi_pk,False
persistence,aqi_mean,1,14.190855769638969,10.651525245925994,0.3445168020495045,0.0486557703140402,0.7699999999999999,0.9966666666666668,4.745907112274497,5,300,0.0,20260907T070839Z,karachi_pk,True
seasonal_naive,aqi_mean,1,25.178773464132234,19.705107826726262,-1.1584123571502407,-0.0309666420222505,0.6166666666666668,0.9833333333333332,3.2721066180959912,5,300,-0.7742956360673949,20260907T070839Z,karachi_pk,True
climatology,aqi_mean,1,20.010909895015303,16.244007134150365,-0.3145496339905698,2.705680981581334,0.6866666666666668,0.9933333333333334,4.002718386461507,5,300,-0.4101270719577192,20260907T070839Z,karachi_pk,True
drifted_persistence,aqi_mean,1,14.91093786594097,11.328244119590815,0.2773817700075964,0.0545926101957467,0.7666666666666666,0.9966666666666668,4.879610242594821,5,300,-0.0507426830341408,20260907T070839Z,karachi_pk,True
ridge,aqi_mean,1,9.442378118920193,7.297602742766372,0.7167282711258253,-0.3138885128170859,0.86,1.0,2.998067113711086,5,300,0.3346153133962535,20260907T070839Z,karachi_pk,True
elastic_net,aqi_mean,1,9.427425734983846,7.367858637784941,0.7136954720103389,0.3405332555632241,0.8766666666666666,1.0,3.340472694860433,5,300,0.3356689766974011,20260907T070839Z,karachi_pk,True
random_forest,aqi_mean,1,9.30809393939108,6.992137878206696,0.7173901765566391,0.8548211040626752,0.8666666666666666,1.0,3.2103216917837614,5,300,0.3440780393733866,20260907T070839Z,karachi_pk,True
extra_trees,aqi_mean,1,9.14202558784119,6.964714131653284,0.727062699031282,0.5408139378022502,0.85,1.0,2.9177006752827204,5,300,0.3557805296421688,20260907T070839Z,karachi_pk,True
hist_gradient_boosting,aqi_mean,1,9.535299776061116,7.12804075959518,0.7048859634899632,0.3076398830316978,0.85,1.0,3.718774466830957,5,300,0.3280673180780481,20260907T070839Z,karachi_pk,True
